centaur_case_id,new_seg_id
26394516,84555
26395322,84556
26393205,84557
26396871,84558
26397509,84559
26393787,84560
26394939,84561
26394292,84562
26393798,84563
26397588,35947
26395906,84564
26394694,35502
26394935,84565
26392927,84566
26395021,84567
26395201,84568
26393544,84569
26395180,55637
26395846,84570
26394232,84571
26393995,45556
26395076,84572
26396229,59635
26393372,84573
26393922,84574
26393188,84575
26392942,84576
26395962,84577
26392843,84578
26394018,84579
26397002,84580
26393149,84581
26393575,84582
26393843,84583
26397372,84584
26395063,84585
26396567,84586
26397021,84587
26395972,84588
26395210,40971
26395555,84589
26396207,84590
26395506,84591
26396927,84592
26395098,84593
26396996,84594
26393130,84595
26394768,84596
26394704,84597
26395609,84598
26394382,84599
26396917,84600
26397422,84601
26397608,84602
26397136,39563
26394114,84603
26397757,84604
26394680,84605
26393139,63401
26393126,84606
26393273,46707
26394894,84607
26396506,84608
26397379,84609
26394742,84610
26394131,84611
26397342,84612
26395458,84613
26397649,84614
26395321,46591
26395314,84615
26397487,84616
26394186,84617
26393308,84618
26395449,84619
26396142,84620
26397318,84621
26395933,40363
26395371,84622
26393028,84623
26396279,84624
26397774,84625
26394122,84626
26396317,84627
26395869,84628
26394052,84629
26397253,84630
26394469,84631
26393141,59648
26394411,84632
26393980,84633
26394738,84634
26397063,84635
26396720,84636
26395054,84637
26397683,84638
26394310,84639
26393968,84640
26394702,84641
26393503,84642
26394881,84643
26395476,84644
26396163,53838
26397181,84645
26395237,84646
26397552,84647
26397400,84648
26397157,84649
26395779,84650
26394527,84651
26395073,84652
26397766,84653
26396358,84654
26395492,84655
26396646,84656
26396545,84657
26393999,84658
26395620,84659
26396047,84660
26397526,84661
26396007,84662
26395925,84663
26396239,84664
26397536,84665
26394197,84666
26393872,84667
26395182,84668
26393807,84669
26395603,84670
26395636,84671
26393618,84672
26395720,34803
26394437,84673
26394646,84674
26395424,84675
26392876,84676
26397140,84677
26393418,84678
26394192,84679
26395248,84680
26395306,84681
26397431,65952
26396995,84682
26395812,84683
26395230,84684
26392840,84685
26393241,56476
26393113,84686
26395819,84687
26396628,84688
26395386,84689
26394183,84690
26394438,84691
26397156,49073
26397465,84692
26396611,84693
26397624,84694
26393891,84695
26394409,84696
26394461,84697
26394976,84698
26396659,84699
26397025,84700
26395374,84701
26396552,84702
26397158,84703
26393036,54274
26393706,84704
26395079,84705
26393751,84706
26395982,84707
26396536,84708
26395400,84709
26396267,84710
26396242,84711
26394381,84712
26395699,84713
26397029,84714
26393203,35083
26396534,84715
26395984,84716
26395133,84717
26395634,84718
26394340,84719
26393781,84720
26397368,84721
26392912,84722
26395746,84723
26396405,84724
26394221,84725
26393957,84726
26393765,84727
26397454,35446
26395589,84728
26396469,84729
26394944,84730
26393853,84731
26392943,84732
26397428,84733
26392993,84734
26393729,84735
26396630,84736
26395454,84737
26395849,84738
26397367,84739
26394957,84740
26395330,84741
26396928,84742
26394539,84743
26396278,66440
26395674,84744
26394600,84745
26397334,84746
26395889,84747
26397093,84748
26395072,84749
26393406,35456
26393931,84750
26395373,84751
26393129,84752
26394665,84753
26394277,84754
26393363,84755
26394605,84756
26397294,84757
26395518,84758
26393649,84759
26397656,84760
26395273,84761
26394817,84762
26394773,84763
26392945,84764
26396875,54940
26396249,51569
26393268,84765
26394574,84766
26394581,26094
26397695,84767
26393984,84768
26394376,84769
26395282,84770
26392809,84771
26395900,84772
26394748,84773
26397074,84774
26394101,84775
26393160,84776
26393613,84777
26397188,84778
26395701,84779
26397018,84780
26396165,60215
26392957,84781
26394167,84782
26396428,84783
26397614,67848
26396426,84784
26393599,84785
26395304,84786
26396274,84787
26393017,84788
26394586,84789
26392913,84790
26395727,84791
26396951,84792
26396065,23676
26394590,84793
26393084,84794
26395764,84795
26394229,84796
26393468,35003
26394634,84797
26397123,84798
26396727,84799
26393917,84800
26397572,84801
26394274,84802
26395135,84803
26395065,84804
26395309,84805
26395355,84806
26396585,84807
26393325,84808
26396032,84809
26395268,84810
26396048,35151
26395504,84811
26393475,84812
26392793,84813
26396042,84814
26396680,84815
26396226,84816
26394722,84817
26396412,84818
26393264,40721
26397640,84819
26394666,84820
26397524,84821
26394168,84822
26394594,84823
26393202,84824
26393981,84825
26397310,84826
26397390,84827
26395145,84828
26396408,84829
26396018,84830
26397035,34704
26393767,84831
26394726,55973
26394278,84832
26392846,84833
26396721,84834
26397476,84835
26396625,84836
26397278,84837
26397491,84838
26394204,84839
26392915,84840
26396333,84841
26393960,84842
26396717,84843
26393428,84844
26395015,84845
26394222,84846
26397091,84847
26393614,84848
