user_id,response,created_at,name
2,"OK,Other,Not specialized in epileptology,None",26:06.3,eeg_survey_5290
26,"OK,Other,Not specialized in epileptology,None",34:48.7,eeg_survey_5290
1196,"OK,Other,Not specialized in epileptology,More than 5 years",07:19.1,eeg_survey_5290
7884,"OK,Other,Not specialized in epileptology,None",18:38.6,eeg_survey_5290
43096,"OK,Medical student,Not specialized in epileptology,1-5 years",34:10.3,eeg_survey_5290
44529,"OK,Practicing physician (non-neurologist),Not specialized in epileptology,0-1 years",04:52.4,eeg_survey_5290
46967,"OK,Other,Specialized in adult epileptology,None",09:49.1,eeg_survey_5290
54950,"OK,Resident,Not specialized in epileptology,0-1 years",27:46.3,eeg_survey_5290
63379,"OK,Medical student,Not specialized in epileptology,0-1 years",36:22.0,eeg_survey_5290
69061,"OK,Resident,Not specialized in epileptology,None",22:01.0,eeg_survey_5290
75969,"OK,Medical student,Not specialized in epileptology,0-1 years",26:30.0,eeg_survey_5290
112839,"OK,Fellow - epilepsy or clinical neurophysiology,Not specialized in epileptology,None",47:11.0,eeg_survey_5290
123559,"OK,Medical student,Not specialized in epileptology,1-5 years",47:50.8,eeg_survey_5290
123848,"OK,Nurse,Not specialized in epileptology,1-5 years",54:50.9,eeg_survey_5291
132535,"OK,Other,Not specialized in epileptology,0-1 years",16:21.0,eeg_survey_5291
154419,"OK,Medical student,Not specialized in epileptology,None",29:49.8,eeg_survey_5291
159195,"OK,Medical student,Not specialized in epileptology,0-1 years",30:44.6,eeg_survey_5290
180994,"OK,Medical student,Not specialized in epileptology,None",00:02.8,eeg_survey_5290
187180,"OK,Medical student,Not specialized in epileptology,None",55:24.0,eeg_survey_5290
191971,"OK,Practicing physician (non-neurologist),Not specialized in epileptology,0-1 years",41:32.2,eeg_survey_5291
195961,"OK,Nurse,Not specialized in epileptology,None",29:58.9,eeg_survey_5291
209011,"OK,Medical student,Not specialized in epileptology,None",37:54.7,eeg_survey_5291
262204,"OK,Other,Not specialized in epileptology,None",03:01.4,eeg_survey_5291
270392,"OK,Medical student,Not specialized in epileptology,None",20:01.8,eeg_survey_5290
270967,"OK,Other,Not specialized in epileptology,None",37:34.4,eeg_survey_5290
282558,"OK,Practicing physician (non-neurologist),Not specialized in epileptology,1-5 years",06:04.3,eeg_survey_5290
292356,"OK,Other,Not specialized in epileptology,None",18:39.2,eeg_survey_5290
299374,"OK,Other,Not specialized in epileptology,None",16:19.0,eeg_survey_5290
305108,"OK,Medical student,Not specialized in epileptology,0-1 years",39:35.7,eeg_survey_5291
314189,"OK,Medical student,Specialized in adult epileptology,1-5 years",44:15.6,eeg_survey_5291
316516,"OK,Other,Specialized in adult epileptology,More than 5 years",56:14.1,eeg_survey_5290
316710,"OK,Medical student,Not specialized in epileptology,None",38:40.8,eeg_survey_5290
317891,"OK,Other,Not specialized in epileptology,None",41:31.1,eeg_survey_5290
318693,"OK,Medical student,Not specialized in epileptology,None",38:51.9,eeg_survey_5290
319661,"OK,Other,Not specialized in epileptology,None",45:16.5,eeg_survey_5291
322125,"OK,Other,Not specialized in epileptology,None",49:38.9,eeg_survey_5290
329173,"OK,Practicing physician (non-neurologist),Specialized in adult epileptology,0-1 years",17:01.5,eeg_survey_5290
331025,"OK,Medical student,Not specialized in epileptology,0-1 years",46:43.3,eeg_survey_5291
332125,"OK,Other,Not specialized in epileptology,None",37:03.7,eeg_survey_5291
340986,"OK,Other,Not specialized in epileptology,None",32:12.5,eeg_survey_5291
348570,"OK,Medical student,Not specialized in epileptology,0-1 years",14:20.4,eeg_survey_5290
351834,"OK,Medical student,Not specialized in epileptology,None",30:24.7,eeg_survey_5291
358060,"OK,Resident,Specialized in adult epileptology,0-1 years",55:09.6,eeg_survey_5291
360041,"OK,Other,Not specialized in epileptology,None",30:53.7,eeg_survey_5290
363431,"OK,Medical student,Not specialized in epileptology,None",23:26.0,eeg_survey_5290
364382,"OK,Other,Not specialized in epileptology,None",58:58.6,eeg_survey_5290
364505,"OK,Medical student,Not specialized in epileptology,0-1 years",54:32.4,eeg_survey_5291
368458,"OK,Other,Not specialized in epileptology,None",38:29.9,eeg_survey_5290
