seg_id,s_mean,s_sd,n_raters,pos_rate
20523,-0.8635174306190719,0.4641740747454808,13,0.0
20524,-0.878762060172141,0.4492503506699659,21,0.0
20527,-0.878762060172141,0.4492503506699659,21,0.0
20528,-0.878762060172141,0.4492503506699659,21,0.0
20532,-0.878762060172141,0.4492503506699659,21,0.0
20533,-0.878762060172141,0.4492503506699659,21,0.0
20534,-0.8681728567175032,0.459841278657348,20,0.0
20535,-0.8681728567175032,0.459841278657348,20,0.0
20537,-0.8681728567175032,0.459841278657348,20,0.0
20541,-0.6248628550493791,0.054949871089903395,12,0.08333333333333333
20542,-0.8681728567175032,0.459841278657348,20,0.0
20544,-0.867784719676137,0.4555384686871064,19,0.0
20545,-0.8646350972930607,0.45932896895743774,17,0.0
20546,-0.8523403293305997,0.4457546384856212,11,0.0
20547,-0.8681728567175032,0.459841278657348,20,0.0
20548,-0.8681728567175032,0.459841278657348,20,0.0
20549,-0.8601601643960367,0.46211064157998355,12,0.0
20551,-0.8681728567175032,0.459841278657348,20,0.0
20552,-0.8495429945631018,0.4588340229072354,13,0.0
20554,-0.8681728567175032,0.459841278657348,20,0.0
20558,-0.8612562841315596,0.4610794766568715,15,0.0
20560,-0.8646350972930607,0.45932896895743774,17,0.0
20561,-0.8612562841315596,0.4610794766568715,15,0.0
20563,-0.8635174306190719,0.4641740747454808,13,0.0
20564,-0.8612562841315596,0.4610794766568715,15,0.0
20565,-0.8635174306190719,0.4641740747454808,13,0.0
20566,-0.8635174306190719,0.4641740747454808,13,0.0
20567,-0.8495429945631018,0.4588340229072354,13,0.0
20568,-0.8681728567175032,0.459841278657348,20,0.0
20571,-0.8646350972930607,0.45932896895743774,17,0.0
20572,-0.6529312383917336,0.06365370959370571,15,0.06666666666666667
20573,-0.8681728567175032,0.459841278657348,20,0.0
20574,-0.8601601643960367,0.46211064157998355,12,0.0
20575,-0.6915604991702667,0.3344079840532693,3,0.0
20576,-0.6915604991702667,0.3344079840532693,3,0.0
20577,-0.6915604991702667,0.3344079840532693,3,0.0
20578,-0.6915604991702667,0.3344079840532693,3,0.0
20579,-0.8681728567175032,0.459841278657348,20,0.0
20582,-0.8646350972930607,0.45932896895743774,17,0.0
20583,-0.8681728567175032,0.459841278657348,20,0.0
20585,-0.8681728567175032,0.459841278657348,20,0.0
20586,-0.616959943273192,0.05215710780326374,12,0.08333333333333333
20588,-0.8601601643960367,0.46211064157998355,12,0.0
20591,-0.8612562841315596,0.4610794766568715,15,0.0
20592,-0.8495429945631018,0.4588340229072354,13,0.0
20593,-0.8523403293305997,0.4457546384856212,11,0.0
20599,-0.5783432786292574,0.05078638734643963,4,0.25
20602,-0.8635174306190719,0.4641740747454808,13,0.0
20605,-0.8640706349589241,0.45880353252202644,18,0.0
20607,-0.8612562841315596,0.4610794766568715,15,0.0
20609,-0.6882997720119857,0.35361753938690044,3,0.0
20610,-0.6882997720119857,0.35361753938690044,3,0.0
20611,-0.698627929926432,0.3623532593177942,3,0.0
20612,-0.698627929926432,0.3623532593177942,3,0.0
20613,-0.698627929926432,0.3623532593177942,3,0.0
20614,-0.698627929926432,0.3623532593177942,3,0.0
20615,-0.698627929926432,0.3623532593177942,3,0.0
20616,-0.698627929926432,0.3623532593177942,3,0.0
20617,-0.698627929926432,0.3623532593177942,3,0.0
20618,-0.698627929926432,0.3623532593177942,3,0.0
20619,-0.698627929926432,0.3623532593177942,3,0.0
20621,-0.8649607261347418,0.4582759052068037,20,0.0
20622,-0.6988960961195885,0.3311377618278681,3,0.0
20623,-0.6988960961195885,0.3311377618278681,3,0.0
20624,-0.6999139846834026,0.3083314656775953,3,0.0
20625,-0.6999139846834026,0.3083314656775953,3,0.0
20626,-0.6999139846834026,0.3083314656775953,3,0.0
20627,-0.6999139846834026,0.3083314656775953,3,0.0
20628,-0.6999139846834026,0.3083314656775953,3,0.0
20629,-0.6999139846834026,0.3083314656775953,3,0.0
20631,-0.6999139846834026,0.3083314656775953,3,0.0
20632,-0.6999139846834026,0.3083314656775953,3,0.0
20633,-0.6999139846834026,0.3083314656775953,3,0.0
20634,-0.6999139846834026,0.3083314656775953,3,0.0
20635,-0.6999139846834026,0.3083314656775953,3,0.0
20636,-0.8616259952053342,0.4722495201846985,15,0.0
20637,-0.6915604991702667,0.3344079840532693,3,0.0
20638,-0.6915604991702667,0.3344079840532693,3,0.0
20639,-0.6915604991702667,0.3344079840532693,3,0.0
20640,-0.6915604991702667,0.3344079840532693,3,0.0
20641,-0.7185745419024391,0.36024132719576113,3,0.0
20642,-0.7185745419024391,0.36024132719576113,3,0.0
20643,-0.7185745419024391,0.36024132719576113,3,0.0
20644,-0.7185745419024391,0.36024132719576113,3,0.0
20653,-0.6893593594835817,0.3600574275434065,3,0.0
20654,-0.6893593594835817,0.3600574275434065,3,0.0
20655,-0.6893593594835817,0.3600574275434065,3,0.0
20656,-0.6893593594835817,0.3600574275434065,3,0.0
20657,-0.6893593594835817,0.3600574275434065,3,0.0
20658,-0.6893593594835817,0.3600574275434065,3,0.0
20659,-0.6893593594835817,0.3600574275434065,3,0.0
20660,-0.6893593594835817,0.3600574275434065,3,0.0
20661,-0.6893593594835817,0.3600574275434065,3,0.0
20663,-0.698627929926432,0.3623532593177942,3,0.0
20664,-0.698627929926432,0.3623532593177942,3,0.0
20665,-0.698627929926432,0.3623532593177942,3,0.0
20666,-0.6907952175426306,0.353666218962678,3,0.0
20667,-0.6907952175426306,0.353666218962678,3,0.0
20668,-0.6907952175426306,0.353666218962678,3,0.0
20669,-0.6907952175426306,0.353666218962678,3,0.0
20670,-0.5683953768318549,0.05000108527018754,3,0.3333333333333333
20671,-0.6907952175426306,0.353666218962678,3,0.0
