case_id,origin,label_expert1,label_expert2,label_expert3,label_expert4
26394516,task2_images_v3/task2_event0001.png,domain4,domain4,domain3,domain4
26395322,task2_images_v3/task2_event0002.png,domain4,domain6,domain5,domain4
26393205,task2_images_v3/task2_event0003.png,domain5,domain7,domain5,domain2
26396871,task2_images_v3/task2_event0004.png,domain2,domain2,domain7,domain7
26397509,task2_images_v3/task2_event0005.png,domain6,domain6,domain6,domain6
26393787,task2_images_v3/task2_event0006.png,domain6,domain4,domain6,domain6
26394939,task2_images_v3/task2_event0007.png,domain4,domain4,domain4,domain4
26394292,task2_images_v3/task2_event0008.png,domain7,domain7,domain3,domain7
26393798,task2_images_v3/task2_event0009.png,domain5,domain5,domain5,domain5
26397588,task2_images_v3/task2_event0010.png,domain5,domain2,domain6,domain5
26395906,task2_images_v3/task2_event0011.png,domain6,domain5,domain6,domain6
26394694,task2_images_v3/task2_event0012.png,domain5,domain3,domain5,domain2
26394935,task2_images_v3/task2_event0013.png,domain3,domain3,domain3,domain3
26392927,task2_images_v3/task2_event0014.png,domain6,domain6,domain6,domain6
26395021,task2_images_v3/task2_event0015.png,domain3,domain4,domain3,domain4
26395201,task2_images_v3/task2_event0016.png,domain6,domain6,domain6,domain6
26393544,task2_images_v3/task2_event0017.png,domain4,domain2,domain3,domain4
26395180,task2_images_v3/task2_event0018.png,domain4,domain2,domain4,domain4
26395846,task2_images_v3/task2_event0019.png,domain6,domain5,domain6,domain6
26394232,task2_images_v3/task2_event0020.png,domain5,domain6,domain6,domain6
26393995,task2_images_v3/task2_event0021.png,domain4,domain4,domain4,domain4
26395076,task2_images_v3/task2_event0022.png,domain4,domain4,domain6,domain4
26396229,task2_images_v3/task2_event0023.png,domain4,domain4,domain7,domain4
26393372,task2_images_v3/task2_event0024.png,domain6,domain6,domain6,domain6
26393922,task2_images_v3/task2_event0025.png,domain3,domain4,domain5,domain5
26393188,task2_images_v3/task2_event0026.png,domain5,domain5,domain5,domain5
26392942,task2_images_v3/task2_event0027.png,domain7,domain7,domain3,domain3
26395962,task2_images_v3/task2_event0028.png,domain4,domain6,domain6,domain6
26392843,task2_images_v3/task2_event0029.png,domain3,domain3,domain5,domain3
26394018,task2_images_v3/task2_event0030.png,domain6,domain6,domain6,domain6
26397002,task2_images_v3/task2_event0031.png,domain5,domain5,domain5,domain5
26393149,task2_images_v3/task2_event0032.png,domain6,domain6,domain6,domain6
26393575,task2_images_v3/task2_event0033.png,domain6,domain6,domain6,domain6
26393843,task2_images_v3/task2_event0034.png,domain3,domain6,domain4,domain4
26397372,task2_images_v3/task2_event0035.png,domain7,domain7,domain5,domain6
26395063,task2_images_v3/task2_event0036.png,domain5,domain3,domain3,domain5
26396567,task2_images_v3/task2_event0037.png,domain4,domain4,domain4,domain4
26397021,task2_images_v3/task2_event0038.png,domain6,domain4,domain6,domain6
26395972,task2_images_v3/task2_event0039.png,domain4,domain4,domain4,domain4
26395210,task2_images_v3/task2_event0040.png,domain4,domain4,domain6,domain4
26395555,task2_images_v3/task2_event0041.png,domain4,domain4,domain4,domain4
26396207,task2_images_v3/task2_event0042.png,domain2,domain2,domain6,domain2
26395506,task2_images_v3/task2_event0043.png,domain3,domain3,domain3,domain3
26396927,task2_images_v3/task2_event0044.png,domain5,domain5,domain5,domain5
26395098,task2_images_v3/task2_event0045.png,domain6,domain6,domain6,domain6
26396996,task2_images_v3/task2_event0046.png,domain4,domain4,domain4,domain4
26393130,task2_images_v3/task2_event0047.png,domain5,domain3,domain6,domain6
26394768,task2_images_v3/task2_event0048.png,domain5,domain7,domain5,domain5
26394704,task2_images_v3/task2_event0049.png,domain2,domain3,domain6,domain6
26395609,task2_images_v3/task2_event0050.png,domain3,domain7,domain7,domain7
26394382,task2_images_v3/task2_event0051.png,domain4,domain4,domain4,domain4
26396917,task2_images_v3/task2_event0052.png,domain6,domain4,domain6,domain6
26397422,task2_images_v3/task2_event0053.png,domain2,domain2,domain4,domain2
26397608,task2_images_v3/task2_event0054.png,domain5,domain3,domain5,domain5
26397136,task2_images_v3/task2_event0055.png,domain4,domain4,domain3,domain4
26394114,task2_images_v3/task2_event0056.png,domain4,domain4,domain6,domain6
26397757,task2_images_v3/task2_event0057.png,domain2,domain2,domain2,domain2
26394680,task2_images_v3/task2_event0058.png,domain7,domain4,domain5,domain6
26393139,task2_images_v3/task2_event0059.png,domain4,domain4,domain6,domain4
26393126,task2_images_v3/task2_event0060.png,domain3,domain4,domain3,domain4
26393273,task2_images_v3/task2_event0061.png,domain4,domain3,domain6,domain4
26394894,task2_images_v3/task2_event0062.png,domain3,domain3,domain6,domain6
26396506,task2_images_v3/task2_event0063.png,domain4,domain7,domain5,domain6
26397379,task2_images_v3/task2_event0064.png,domain2,domain3,domain3,domain3
26394742,task2_images_v3/task2_event0065.png,domain6,domain3,domain6,domain6
26394131,task2_images_v3/task2_event0066.png,domain6,domain4,domain6,domain6
26397342,task2_images_v3/task2_event0067.png,domain6,domain4,domain6,domain4
26395458,task2_images_v3/task2_event0068.png,domain4,domain4,domain4,domain4
26397649,task2_images_v3/task2_event0069.png,domain5,domain3,domain5,domain5
26395321,task2_images_v3/task2_event0070.png,domain4,domain4,domain4,domain4
26395314,task2_images_v3/task2_event0071.png,domain3,domain3,domain5,domain5
26397487,task2_images_v3/task2_event0072.png,domain6,domain6,domain6,domain6
26394186,task2_images_v3/task2_event0073.png,domain7,domain7,domain7,domain7
26393308,task2_images_v3/task2_event0074.png,domain7,domain7,domain5,domain5
26395449,task2_images_v3/task2_event0075.png,domain2,domain3,domain3,domain6
26396142,task2_images_v3/task2_event0076.png,domain3,domain3,domain3,domain4
26397318,task2_images_v3/task2_event0077.png,domain6,domain4,domain6,domain6
26395933,task2_images_v3/task2_event0078.png,domain4,domain4,domain4,domain4
26395371,task2_images_v3/task2_event0079.png,domain5,domain3,domain5,domain6
26393028,task2_images_v3/task2_event0080.png,domain2,domain3,domain3,domain3
26396279,task2_images_v3/task2_event0081.png,domain5,domain3,domain3,domain5
26397774,task2_images_v3/task2_event0082.png,domain6,domain4,domain6,domain6
26394122,task2_images_v3/task2_event0083.png,domain2,domain2,domain6,domain2
26396317,task2_images_v3/task2_event0084.png,domain2,domain3,domain3,domain3
26395869,task2_images_v3/task2_event0085.png,domain2,domain2,domain3,domain3
26394052,task2_images_v3/task2_event0086.png,domain2,domain2,domain5,domain3
26397253,task2_images_v3/task2_event0087.png,domain5,domain3,domain5,domain5
26394469,task2_images_v3/task2_event0088.png,domain5,domain5,domain5,domain6
26393141,task2_images_v3/task2_event0089.png,domain4,domain4,domain4,domain4
26394411,task2_images_v3/task2_event0090.png,domain2,domain5,domain5,domain5
26393980,task2_images_v3/task2_event0091.png,domain5,domain5,domain5,domain6
26394738,task2_images_v3/task2_event0092.png,domain6,domain6,domain6,domain6
26397063,task2_images_v3/task2_event0093.png,domain4,domain4,domain6,domain4
26396720,task2_images_v3/task2_event0094.png,domain2,domain7,domain7,domain7
26395054,task2_images_v3/task2_event0095.png,domain2,domain4,domain4,domain4
26397683,task2_images_v3/task2_event0096.png,domain3,domain3,domain6,domain6
26394310,task2_images_v3/task2_event0097.png,domain6,domain6,domain6,domain6
26393968,task2_images_v3/task2_event0098.png,domain7,domain7,domain3,domain3
26394702,task2_images_v3/task2_event0099.png,domain4,domain4,domain4,domain4
26393503,task2_images_v3/task2_event0100.png,domain6,domain6,domain6,domain6
26394881,task2_images_v3/task2_event0101.png,domain3,domain3,domain5,domain5
26395476,task2_images_v3/task2_event0102.png,domain5,domain3,domain5,domain6
26396163,task2_images_v3/task2_event0103.png,domain4,domain4,domain7,domain4
26397181,task2_images_v3/task2_event0104.png,domain6,domain6,domain5,domain6
26395237,task2_images_v3/task2_event0105.png,domain2,domain2,domain2,domain2
26397552,task2_images_v3/task2_event0106.png,domain4,domain7,domain6,domain4
26397400,task2_images_v3/task2_event0107.png,domain5,domain7,domain5,domain5
26397157,task2_images_v3/task2_event0108.png,domain2,domain7,domain3,domain3
26395779,task2_images_v3/task2_event0109.png,domain5,domain3,domain5,domain5
26394527,task2_images_v3/task2_event0110.png,domain2,domain2,domain2,domain2
26395073,task2_images_v3/task2_event0111.png,domain3,domain3,domain3,domain3
26397766,task2_images_v3/task2_event0112.png,domain2,domain7,domain3,domain3
26396358,task2_images_v3/task2_event0113.png,domain5,domain3,domain5,domain6
26395492,task2_images_v3/task2_event0114.png,domain3,domain3,domain3,domain3
26396646,task2_images_v3/task2_event0115.png,domain4,domain4,domain3,domain7
26396545,task2_images_v3/task2_event0116.png,domain3,domain4,domain3,domain3
26393999,task2_images_v3/task2_event0117.png,domain4,domain4,domain6,domain4
26395620,task2_images_v3/task2_event0118.png,domain4,domain7,domain6,domain3
