extset_user_id,did_domain2-7_contest,did_domain1_contest,n_reads_domain2-7,n_reads_domain1,surveyed_domain2-7,surveyed_domain1,role,specialization,experience,derived_tier
2,True,False,7,0,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
26,True,True,18,3,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
1196,True,True,16,21,False,True,Other,Not specialized in signal/domain1-7 detection,More than 5 years,novice
7884,False,True,0,18,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
31969,True,True,43,32,False,False,,,,unknown
43096,True,True,188,112,False,True,Student,Not specialized in signal/domain1-7 detection,1-5 years,novice
43379,True,False,5,0,False,False,,,,unknown
44047,True,True,11,1,False,False,,,,unknown
44264,False,True,0,2,False,False,,,,unknown
44529,True,True,3,16,False,True,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,0-1 years,borderline
46967,False,False,0,0,False,True,Other,Specialized in adult signal/domain1-7 detection,None,expert
54950,False,False,0,0,False,True,Resident,Not specialized in signal/domain1-7 detection,0-1 years,borderline
60070,True,True,25,27,False,False,,,,unknown
63379,True,True,1,3,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
65588,True,False,93,0,False,False,,,,unknown
65621,True,True,1,2,False,False,,,,unknown
69061,False,False,0,0,False,True,Resident,Not specialized in signal/domain1-7 detection,None,borderline
74372,True,False,9,0,False,False,,,,unknown
75969,False,False,0,0,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
112839,True,True,103,5,False,True,Fellow,Not specialized in signal/domain1-7 detection,None,expert
119623,False,True,0,5,False,False,,,,unknown
121476,False,True,0,13,False,False,,,,unknown
123180,True,True,1248,729,False,False,,,,unknown
123559,True,True,4682,4143,False,True,Student,Not specialized in signal/domain1-7 detection,1-5 years,novice
123848,False,False,0,0,True,False,Sub-student,Not specialized in signal/domain1-7 detection,1-5 years,novice
127225,True,False,69,0,False,False,,,,unknown
131059,False,True,0,471,False,False,,,,unknown
132535,True,True,33,36,True,False,Other,Not specialized in signal/domain1-7 detection,0-1 years,novice
133101,True,True,13,40,False,False,,,,unknown
139516,False,True,0,5,False,False,,,,unknown
147231,False,True,0,11,False,False,,,,unknown
147908,True,False,33,0,False,False,,,,unknown
154419,True,True,468,40,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
158850,True,False,8,0,False,False,,,,unknown
159195,False,True,0,1,False,True,Student,Not specialized in signal/domain1-7 detection,0-1 years,novice
171119,False,True,0,4,False,False,,,,unknown
177062,True,False,6,0,False,False,,,,unknown
180994,True,True,45,21,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
181335,True,True,23,60,False,False,,,,unknown
185441,True,False,1,0,False,False,,,,unknown
187180,True,True,2580,4261,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
189963,False,True,0,10,False,False,,,,unknown
191971,True,True,561,772,True,False,Practicing specialist (non-domain1-7 detection specialist),Not specialized in signal/domain1-7 detection,0-1 years,borderline
195961,True,True,20,14,True,False,Sub-student,Not specialized in signal/domain1-7 detection,None,novice
202841,True,True,242,1,False,False,,,,unknown
209011,True,False,2,0,True,False,Student,Not specialized in signal/domain1-7 detection,None,novice
216590,False,True,0,5,False,False,,,,unknown
218955,False,True,0,10,False,False,,,,unknown
225288,False,True,0,97,False,False,,,,unknown
226864,True,False,75,0,False,False,,,,unknown
235741,True,True,132,277,False,False,,,,unknown
242033,True,False,1,0,False,False,,,,unknown
242375,True,False,2,0,False,False,,,,unknown
256615,True,False,9,0,False,False,,,,unknown
258421,False,True,0,9,False,False,,,,unknown
260963,False,True,0,1,False,False,,,,unknown
262204,True,True,46,41,True,False,Other,Not specialized in signal/domain1-7 detection,None,novice
264963,True,False,3,0,False,False,,,,unknown
268686,True,True,200,420,False,False,,,,unknown
268689,True,True,381,690,False,False,,,,unknown
270392,False,True,0,1,False,True,Student,Not specialized in signal/domain1-7 detection,None,novice
270967,False,False,0,0,False,True,Other,Not specialized in signal/domain1-7 detection,None,novice
273445,True,False,116,0,False,False,,,,unknown
274523,False,True,0,18,False,False,,,,unknown
277850,True,False,206,0,False,False,,,,unknown
280197,True,True,109,115,False,False,,,,unknown
