session_id,trial_index,seg_id,task_code,pattern_class_true,target_present,response_label,response_y,is_correct,reaction_time_ms,answer_changes,n_interactions,select_ms,montage,gain_uv,bandpass,notch,window_s,max_hw,ess,total_var,expected_loss_chosen,rejuv,post_decision
4a696b94-4615-44f8-b0c7-67ac64181cc5,0,472,spike,spike,0,No (no spike),0,True,20523.5,0,2,82.06862356783824,bipolar,200.0,0.5-70 Hz,60 Hz,10.0,0.1736769351076367,499.6968113465768,13.685099927382424,13.841014944171942,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,1,1918,spike,spike,0,No (no spike),0,True,6413.2,0,1,15.244125493931653,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.1747281320868514,413.7125176054917,13.475261479706033,13.500910410609478,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,2,2717,spike,spike,0,No (no spike),0,True,2019.5,0,1,918.2910823530082,laplacian,100.0,0.5-70 Hz,60 Hz,15.0,0.1754192297651514,350.58467479972035,13.290094817492449,13.325498646085803,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,3,8146,spike,spike,1,No (no spike),0,False,2253.7,0,2,216.2108972936244,bipolar,100.0,0.5-20 Hz,60 Hz,10.0,0.1742504372177216,599.9999999999999,12.98771499268977,13.15066989660637,True,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,4,9949,spike,spike,0,No (no spike),0,True,9307.4,0,1,240.3042667814394,bipolar,100.0,0.5-70 Hz,60 Hz,10.0,0.17287099536328432,571.7125467803137,12.94262539328835,12.87443712533468,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,5,7977,spike,spike,1,Yes (spike present),1,True,1361.6,0,1,203.58465010495794,bipolar,300.0,0.5-70 Hz,60 Hz,15.0,0.18047828771913427,440.3183932987728,12.639534182950747,12.852147530895058,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,6,3027,spike,spike,0,No (no spike),0,True,5653.9,0,1,219.61904932178385,laplacian,50.0,0.5-70 Hz,60 Hz,10.0,0.18106754840469003,447.68415472305503,12.573628481623768,12.567255838509707,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,7,6130,spike,spike,0,No (no spike),0,True,6531.1,0,2,890.1268627328213,bipolar,50.0,0.5-70 Hz,60 Hz,10.0,0.1810368676328295,443.60363910428447,12.531465414263781,12.517501076642045,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,8,6489,spike,spike,1,Yes (spike present),1,True,4235.0,0,2,1290.568959245617,bipolar,300.0,0.5-70 Hz,60 Hz,10.0,0.18144945770404064,363.8123460433336,12.408449535617311,12.485035167376903,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,9,6465,spike,spike,0,No (no spike),0,True,10867.8,0,0,134.6730818774841,bipolar,200.0,0.5-70 Hz,60 Hz,10.0,0.18096952457895638,348.9950576414216,12.37916076303966,12.364890480947643,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,10,11067,spike,spike,1,Yes (spike present),1,True,4355.3,0,1,1110.9091890711095,bipolar,70.0,0.5-70 Hz,60 Hz,10.0,0.17653460516234015,599.9999999999999,12.284025479125646,12.340148371623396,True,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,11,17207,spike,spike,1,Yes (spike present),1,True,16910.3,0,1,137.36009408837455,average,100.0,0.5-70 Hz,60 Hz,10.0,0.1777078934978073,567.6283611365699,12.28958667303096,12.251019573670979,False,False
4a696b94-4615-44f8-b0c7-67ac64181cc5,12,9213,spike,spike,1,Yes (spike present),1,True,5317.5,0,5,612.739195420103,bipolar,50.0,0.5-20 Hz,60 Hz,10.0,0.17836707976434674,448.4810583465873,12.281732325453124,12.25970884151049,False,False
