seg_id,s_mean,n_raters,pos_rate
20523,-0.5373005146705188,13,0.0
20524,-0.545515527964305,21,0.0
20527,-0.545515527964305,21,0.0
20528,-0.545515527964305,21,0.0
20532,-0.545515527964305,21,0.0
20533,-0.545515527964305,21,0.0
20534,-0.5376443410578571,20,0.0
20535,-0.5376443410578571,20,0.0
20537,-0.5376443410578571,20,0.0
20541,-0.3237784669673006,12,0.08333333333333333
20542,-0.5376443410578571,20,0.0
20544,-0.5371011190750726,19,0.0
20545,-0.5365925711698808,17,0.0
20546,-0.5332417563890006,11,0.0
20547,-0.5376443410578571,20,0.0
20548,-0.5376443410578571,20,0.0
20549,-0.5362510330735198,12,0.0
20551,-0.5376443410578571,20,0.0
20552,-0.5329750171229233,13,0.0
20554,-0.5376443410578571,20,0.0
20558,-0.5363452406310631,15,0.0
20560,-0.5365925711698808,17,0.0
20561,-0.5363452406310631,15,0.0
20563,-0.5373005146705188,13,0.0
20564,-0.5363452406310631,15,0.0
20565,-0.5373005146705188,13,0.0
20566,-0.5373005146705188,13,0.0
20567,-0.5329750171229233,13,0.0
20568,-0.5376443410578571,20,0.0
20571,-0.5365925711698808,17,0.0
20572,-0.35065038897724554,15,0.06666666666666667
20573,-0.5376443410578571,20,0.0
20574,-0.5362510330735198,12,0.0
20575,-0.4037417572004679,3,0.0
20576,-0.4037417572004679,3,0.0
20577,-0.4037417572004679,3,0.0
20578,-0.4037417572004679,3,0.0
20579,-0.5376443410578571,20,0.0
20582,-0.5365925711698808,17,0.0
20583,-0.5376443410578571,20,0.0
20585,-0.5376443410578571,20,0.0
20586,-0.316721697601445,12,0.08333333333333333
20588,-0.5362510330735198,12,0.0
20591,-0.5363452406310631,15,0.0
20592,-0.5329750171229233,13,0.0
20593,-0.5332417563890006,11,0.0
20595,-0.4034680421147144,3,0.0
20596,-0.4034680421147144,3,0.0
20597,-0.4034680421147144,3,0.0
20598,-0.4034680421147144,3,0.0
20599,-0.28589406443103876,5,0.2
20600,-0.4034680421147144,3,0.0
20601,-0.4034680421147144,3,0.0
20602,-0.5373005146705188,13,0.0
20605,-0.536547288926799,18,0.0
20607,-0.5363452406310631,15,0.0
20609,-0.406385839125939,3,0.0
20610,-0.406385839125939,3,0.0
20611,-0.4123455065958567,3,0.0
20612,-0.4123455065958567,3,0.0
20613,-0.4123455065958567,3,0.0
20614,-0.4123455065958567,3,0.0
20615,-0.4123455065958567,3,0.0
20616,-0.4123455065958567,3,0.0
20617,-0.4123455065958567,3,0.0
20618,-0.4123455065958567,3,0.0
20619,-0.4123455065958567,3,0.0
20621,-0.5366360631999949,20,0.0
20622,-0.4086378797657248,3,0.0
20623,-0.4086378797657248,3,0.0
20624,-0.4156362212577788,3,0.0
20625,-0.4156362212577788,3,0.0
20626,-0.4156362212577788,3,0.0
